#4  621
#Prescribed CO2 concentrations 1990.5 to 2300
#For stabilisation cases. Mathced to mid 1990 trend of 1.7
#................
#t             S350     S450     S550     S650     S750     DS450     DS550   
 2222.00   350.000   450.000   550.000   650.000   747.141   450.000   550.000
 2222.50   350.000   450.000   550.000   650.000   747.248   450.000   550.000
 2223.00   350.000   450.000   550.000   650.000   747.353   450.000   550.000
 2223.50   350.000   450.000   550.000   650.000   747.455   450.000   550.000
 2224.00   350.000   450.000   550.000   650.000   747.555   450.000   550.000
 2224.50   350.000   450.000   550.000   650.000   747.653   450.000   550.000
 2225.00   350.000   450.000   550.000   650.000   747.749   450.000   550.000
 2225.50   350.000   450.000   550.000   650.000   747.842   450.000   550.000
 2226.00   350.000   450.000   550.000   650.000   747.933   450.000   550.000
 2226.50   350.000   450.000   550.000   650.000   748.022   450.000   550.000
 2227.00   350.000   450.000   550.000   650.000   748.109   450.000   550.000
 2227.50   350.000   450.000   550.000   650.000   748.193   450.000   550.000
 2228.00   350.000   450.000   550.000   650.000   748.276   450.000   550.000
 2228.50   350.000   450.000   550.000   650.000   748.356   450.000   550.000
 2229.00   350.000   450.000   550.000   650.000   748.434   450.000   550.000
 2229.50   350.000   450.000   550.000   650.000   748.510   450.000   550.000
 2230.00   350.000   450.000   550.000   650.000   748.584   450.000   550.000
 2230.50   350.000   450.000   550.000   650.000   748.656   450.000   550.000
 2231.00   350.000   450.000   550.000   650.000   748.726   450.000   550.000
 2231.50   350.000   450.000   550.000   650.000   748.794   450.000   550.000
 2232.00   350.000   450.000   550.000   650.000   748.860   450.000   550.000
 2232.50   350.000   450.000   550.000   650.000   748.924   450.000   550.000
 2233.00   350.000   450.000   550.000   650.000   748.985   450.000   550.000
 2233.50   350.000   450.000   550.000   650.000   749.045   450.000   550.000
 2234.00   350.000   450.000   550.000   650.000   749.103   450.000   550.000
 2234.50   350.000   450.000   550.000   650.000   749.159   450.000   550.000
 2235.00   350.000   450.000   550.000   650.000   749.213   450.000   550.000
 2235.50   350.000   450.000   550.000   650.000   749.265   450.000   550.000
 2236.00   350.000   450.000   550.000   650.000   749.315   450.000   550.000
 2236.50   350.000   450.000   550.000   650.000   749.363   450.000   550.000
 2237.00   350.000   450.000   550.000   650.000   749.409   450.000   550.000
 2237.50   350.000   450.000   550.000   650.000   749.454   450.000   550.000
 2238.00   350.000   450.000   550.000   650.000   749.496   450.000   550.000
 2238.50   350.000   450.000   550.000   650.000   749.537   450.000   550.000
 2239.00   350.000   450.000   550.000   650.000   749.576   450.000   550.000
 2239.50   350.000   450.000   550.000   650.000   749.613   450.000   550.000
 2240.00   350.000   450.000   550.000   650.000   749.649   450.000   550.000
 2240.50   350.000   450.000   550.000   650.000   749.682   450.000   550.000
 2241.00   350.000   450.000   550.000   650.000   749.714   450.000   550.000
 2241.50   350.000   450.000   550.000   650.000   749.744   450.000   550.000
 2242.00   350.000   450.000   550.000   650.000   749.772   450.000   550.000
 2242.50   350.000   450.000   550.000   650.000   749.799   450.000   550.000
 2243.00   350.000   450.000   550.000   650.000   749.824   450.000   550.000
 2243.50   350.000   450.000   550.000   650.000   749.847   450.000   550.000
 2244.00   350.000   450.000   550.000   650.000   749.868   450.000   550.000
 2244.50   350.000   450.000   550.000   650.000   749.888   450.000   550.000
 2245.00   350.000   450.000   550.000   650.000   749.906   450.000   550.000
 2245.50   350.000   450.000   550.000   650.000   749.923   450.000   550.000
 2246.00   350.000   450.000   550.000   650.000   749.938   450.000   550.000
 2246.50   350.000   450.000   550.000   650.000   749.951   450.000   550.000
 2247.00   350.000   450.000   550.000   650.000   749.962   450.000   550.000
 2247.50   350.000   450.000   550.000   650.000   749.972   450.000   550.000
 2248.00   350.000   450.000   550.000   650.000   749.981   450.000   550.000
 2248.50   350.000   450.000   550.000   650.000   749.988   450.000   550.000
 2249.00   350.000   450.000   550.000   650.000   749.993   450.000   550.000
 2249.50   350.000   450.000   550.000   650.000   749.997   450.000   550.000
 2250.00   350.000   450.000   550.000   650.000   749.999   450.000   550.000
 2250.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2251.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2251.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2252.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2252.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2253.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2253.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2254.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2254.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2255.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2255.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2256.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2256.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2257.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2257.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2258.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2258.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2259.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2259.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2260.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2260.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2261.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2261.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2262.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2262.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2263.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2263.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2264.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2264.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2265.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2265.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2266.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2266.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2267.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2267.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2268.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2268.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2269.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2269.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2270.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2270.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2271.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2271.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2272.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2272.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2273.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2273.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2274.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2274.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2275.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2275.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2276.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2276.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2277.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2277.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2278.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2278.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2279.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2279.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2280.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2280.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2281.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2281.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2282.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2282.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2283.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2283.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2284.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2284.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2285.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2285.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2286.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2286.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2287.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2287.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2288.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2288.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2289.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2289.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2290.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2290.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2291.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2291.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2292.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2292.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2293.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2293.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2294.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2294.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2295.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2295.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2296.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2296.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2297.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2297.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2298.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2298.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2299.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2299.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2300.00   350.000   450.000   550.000   650.000   750.000   450.000   550.000
 2300.50   350.000   450.000   550.000   650.000   750.000   450.000   550.000
